courier_id,order_id,action,time
12,1,accept_order,24/08/22 01:52
12,1,deliver_order,24/08/22 02:15
156,2,accept_order,24/08/22 06:37
156,2,deliver_order,24/08/22 06:56
49,3,accept_order,24/08/22 07:35
49,3,deliver_order,24/08/22 07:54
134,4,accept_order,24/08/22 10:39
134,4,deliver_order,24/08/22 10:58
106,5,accept_order,24/08/22 12:34
106,5,deliver_order,24/08/22 12:59
26,6,accept_order,24/08/22 13:46
26,6,deliver_order,24/08/22 14:06
134,7,accept_order,24/08/22 13:59
57,8,accept_order,24/08/22 14:03
57,8,deliver_order,24/08/22 14:28
57,9,accept_order,24/08/22 14:45
57,9,deliver_order,24/08/22 15:05
162,10,accept_order,24/08/22 15:09
162,10,deliver_order,24/08/22 15:27
108,11,accept_order,24/08/22 15:54
108,11,deliver_order,24/08/22 16:08
118,12,accept_order,24/08/22 16:22
118,12,deliver_order,24/08/22 16:43
69,13,accept_order,24/08/22 16:39
88,14,accept_order,24/08/22 17:16
88,14,deliver_order,24/08/22 17:35
123,15,accept_order,24/08/22 17:17
123,15,deliver_order,24/08/22 17:39
41,16,accept_order,24/08/22 17:31
41,16,deliver_order,24/08/22 17:49
106,17,accept_order,24/08/22 17:32
106,17,deliver_order,24/08/22 17:49
117,18,accept_order,24/08/22 17:38
117,18,deliver_order,24/08/22 18:00
7,19,accept_order,24/08/22 17:42
7,19,deliver_order,24/08/22 18:05
89,20,accept_order,24/08/22 17:48
89,20,deliver_order,24/08/22 18:07
3,21,accept_order,24/08/22 17:57
3,21,deliver_order,24/08/22 18:18
108,22,accept_order,24/08/22 18:05
108,22,deliver_order,24/08/22 18:22
116,23,accept_order,24/08/22 18:13
116,23,deliver_order,24/08/22 18:36
142,24,accept_order,24/08/22 18:20
142,24,deliver_order,24/08/22 18:34
132,25,accept_order,24/08/22 18:38
132,25,deliver_order,24/08/22 18:55
70,26,accept_order,24/08/22 18:42
70,26,deliver_order,24/08/22 19:04
79,27,accept_order,24/08/22 18:46
79,27,deliver_order,24/08/22 19:01
10,28,accept_order,24/08/22 18:50
10,28,deliver_order,24/08/22 19:09
105,29,accept_order,24/08/22 18:55
105,29,deliver_order,24/08/22 19:14
90,30,accept_order,24/08/22 18:57
90,30,deliver_order,24/08/22 19:15
144,31,accept_order,24/08/22 18:58
144,31,deliver_order,24/08/22 19:17
99,32,accept_order,24/08/22 18:59
99,32,deliver_order,24/08/22 19:29
51,33,accept_order,24/08/22 19:02
51,33,deliver_order,24/08/22 19:20
91,34,accept_order,24/08/22 19:04
91,34,deliver_order,24/08/22 19:25
57,35,accept_order,24/08/22 19:05
57,35,deliver_order,24/08/22 19:24
117,36,accept_order,24/08/22 19:12
117,36,deliver_order,24/08/22 19:33
145,37,accept_order,24/08/22 19:15
145,37,deliver_order,24/08/22 19:33
90,38,accept_order,24/08/22 19:17
90,38,deliver_order,24/08/22 19:37
152,39,accept_order,24/08/22 19:17
152,39,deliver_order,24/08/22 19:46
35,40,accept_order,24/08/22 19:19
70,41,accept_order,24/08/22 19:25
70,41,deliver_order,24/08/22 19:41
